Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,FHIR API & Interoperability,,,,New,Map relational entities to FHIR-style resources and expose selected read-only resources through a FastAPI service.,,ClinicalPulse; Sprint-7; Phase-7; E07; FHIR; FastAPI; Interoperability; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Feature,,FHIR Mapping and API SQL Views,,,New,Prepare FHIR-style relational mappings and SQL views.,"Feature is complete when relational ClinicalPulse entities are mapped to FHIR-style resources and API SQL views prepare Patient, Encounter, Observation, Condition, Procedure, Organization, and Practitioner-style outputs.",ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; FHIR; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Create FHIR mapping document,,New,"As a interoperability reviewer, I want create fhir mapping document so that ClinicalPulse entities are mapped to Patient, Encounter, Observation, Condition, Procedure, Organization, and Practitioner-style resources.",Deliverable exists at docs/fhir_mapping.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; FHIR-Mapping; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Create FHIR mapping document,New,Create the first complete version of the artifact or implementation for Create FHIR mapping document.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; FHIR-Mapping; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Create FHIR mapping document,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create FHIR mapping document.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; FHIR-Mapping; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,Create API views for Patient and Encounter,,New,"As a developer, I want create api views for patient and encounter so that read-only SQL views produce FHIR-ready Patient and Encounter structures.",Deliverable exists at sql/09_create_api_views.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Draft/build artifact for Create API views for Patient and Encounter,New,Create the first complete version of the artifact or implementation for Create API views for Patient and Encounter.,,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Validate and document Create API views for Patient and Encounter,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create API views for Patient and Encounter.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
Task,,,,Commit and link implementation evidence for Create API views for Patient and Encounter,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create API views for Patient and Encounter.",,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; Evidence; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
User Story,,,"Create API views for Observation, Condition, and Procedure",,New,"As a developer, I want create api views for observation, condition, and procedure so that read-only SQL views produce FHIR-ready clinical context structures.",Deliverable exists at sql/09_create_api_views.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-7; Phase-7; E07; F07.01; API-Views; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component
