Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Documentation & Portfolio Delivery,,,,New,"Package the project for public portfolio review with clear README, architecture narrative, adoption plan, and interview evidence.",,ClinicalPulse; Sprint-8; Phase-8; E08; Documentation; Portfolio; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Feature,,README and Architecture Story,,,New,Make the project easy to understand from the repository landing page.,"Feature is complete when the README, architecture diagram, and public portfolio safety section clearly explain the project thesis, stack, architecture flow, synthetic-data boundaries, and excluded artifacts.",ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; README; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Write README project narrative,,New,"As a recruiter, I want write readme project narrative so that the project thesis, stack, business problem, and deliverables are clear from the README.",Deliverable exists at README.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; README; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Write README project narrative,New,Create the first complete version of the artifact or implementation for Write README project narrative.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; README; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Write README project narrative,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Write README project narrative.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; README; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create final architecture diagram,,New,"As a technical reviewer, I want create final architecture diagram so that the flow from Synthea to SQL Server to Power BI/governance/FHIR API is visually clear.",Deliverable exists at docs/architecture_diagram.png; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Architecture-Diagram; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create final architecture diagram,New,Create the first complete version of the artifact or implementation for Create final architecture diagram.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Architecture-Diagram; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Validate and document Create final architecture diagram,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create final architecture diagram.",,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Architecture-Diagram; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
User Story,,,Create public portfolio safety section,,New,"As a reviewer, I want create public portfolio safety section so that the repository clearly states synthetic-data boundaries and excluded artifacts.",Deliverable exists at README.md; docs/security_model.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Portfolio-Safe; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
Task,,,,Draft/build artifact for Create public portfolio safety section,New,Create the first complete version of the artifact or implementation for Create public portfolio safety section.,,ClinicalPulse; Sprint-8; Phase-8; E08; F08.01; Portfolio-Safe; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery
