Feature External ID,Parent Epic External ID,Feature Title,Success Criteria,Tags
F01.01,E01,DevOps Project Setup & Delivery Controls,"Feature is complete when the Azure DevOps project structure, sprint cadence, tags, and GitHub traceability conventions are documented and usable for day-to-day ClinicalPulse delivery.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; DevOps
F01.02,E01,"Charter, Business Requirements, and Stakeholders","Feature is complete when the project charter, business requirements document, and stakeholder matrix define ClinicalPulse purpose, scope, target users, assumptions, deliverables, and business-facing reporting needs.","ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter,"
F01.03,E01,Architecture and Governance Baseline,"Feature is complete when the architecture overview, KPI dictionary skeleton, governance plan, and security/public-portfolio assumptions establish the baseline design before build work begins.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture
F02.01,E02,Synthea Dataset Generation,"Feature is complete when Synthea generation settings are selected, source files are available locally, and the dataset can be regenerated or replaced using documented steps.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea
F02.02,E02,Source Inventory and Profiling,"Feature is complete when selected source entities have an inventory, row counts, expected keys, profiling notes, and version-1 versus optional expansion scope documented.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Source
F02.03,E02,Data Handling and Repository Safety,"Feature is complete when raw data, secrets, local artifacts, and generated files are excluded from Git, and synthetic-data handling rules and limitations are documented.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.03; Data
F03.01,E03,Database and Schema Foundation,"Feature is complete when the SQL Server database, bronze/silver/gold/governance/audit/api schemas, naming standards, and local connection assumptions are created and documented.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Database
F03.02,E03,Bronze Table Build,"Feature is complete when core Synthea entities have source-preserving bronze tables with ingestion metadata, source identifiers, row hash/load fields, and lineage-ready design.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze
F03.03,E03,Python CSV Ingestion,"Feature is complete when Python ingestion loads selected Synthea CSVs into bronze tables, records batch/file logs, reconciles row counts, and produces reproducible load evidence.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.03; Python
F04.01,E04,Silver Business Entities,"Feature is complete when silver patient, encounter, condition, observation, procedure, organization, and provider entities use standardized naming, data types, derived fields, quality flags, and bronze lineage fields.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver
F04.02,E04,Gold Dimensional Model,"Feature is complete when gold fact and dimension tables support Power BI relationships, KPI calculation, date filtering, encounter/condition/observation/procedure analysis, readmission logic, and data quality reporting.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.02; Gold
F04.03,E04,Reporting Marts,"Feature is complete when patient flow, length-of-stay, readmission, lab operations, service utilization, and reporting trust marts are created and aligned to dashboard use cases.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.03; Reporting
F05.01,E05,Quality Rule Framework,"Feature is complete when quality rules cover completeness, uniqueness, referential integrity, validity, consistency, timeliness, lineage, and API readiness, with results stored for reporting.",ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality
F05.02,E05,KPI Dictionary and Validation,"Feature is complete when governed KPI entries define business questions, formulas, SQL sources, Power BI measure names, grain, inclusion/exclusion criteria, validation queries, limitations, dependencies, and FHIR links where relevant.",ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.02; KPI
