External ID,Parent External ID,Work Item Type,Title,State,Sprint,Phase,Epic,Feature,Description,Acceptance Criteria,Tags,Suggested Repo Artifact,Notes
E01,,Epic,Project Governance & Planning,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,,"Define ClinicalPulse purpose, business scope, stakeholders, architecture, delivery workflow, and baseline governance artifacts.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; Governance; Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design,,
E02,,Epic,Source Data Foundation,New,Sprint 2,Phase 2,E02 Source Data Foundation,,"Generate or acquire Synthea synthetic EHR data and document source assumptions, inventory, limitations, and handling rules.",,ClinicalPulse; Sprint-2; Phase-2; E02; Synthea; Source-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation,,
E03,,Epic,SQL Server Ingestion,New,Sprint 3,Phase 3,E03 SQL Server Ingestion,,"Create SQL Server foundation, bronze tables, ingestion scripts, audit logs, and row-count reconciliation.",,ClinicalPulse; Sprint-3; Phase-3; E03; SQL-Server; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,,
E04,,Epic,Medallion Data Pipeline,New,Sprint 4-5,Phase 4-5,E04 Medallion Data Pipeline,,"Transform bronze source-preserving tables into silver business entities and gold reporting-ready facts, dimensions, and marts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; Medallion; Data-Modeling; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,,
E05,,Epic,Data Quality & Governance,New,Sprint 4-6,Phase 4-6,E05 Data Quality & Governance,,"Implement quality rules, KPI dictionary entries, validation queries, lineage, scorecards, and ownership/security assumptions.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; Data-Quality; Governance; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 6 - Power BI Reporting,,
E06,,Epic,Power BI Reporting,New,Sprint 6,Phase 6,E06 Power BI Reporting,,"Build governed Power BI semantic model, DAX measures, dashboard pages, screenshots, and metric reconciliation evidence.",,ClinicalPulse; Sprint-6; Phase-6; E06; Power-BI; Reporting; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting,,
E07,,Epic,FHIR API & Interoperability,New,Sprint 7,Phase 7,E07 FHIR API & Interoperability,,Map relational entities to FHIR-style resources and expose selected read-only resources through a FastAPI service.,,ClinicalPulse; Sprint-7; Phase-7; E07; FHIR; FastAPI; Interoperability; AP-ClinicalPulse\FHIR API; IP-ClinicalPulse\Sprint 7 - FHIR API Component,,
E08,,Epic,Documentation & Portfolio Delivery,New,Sprint 8,Phase 8,E08 Documentation & Portfolio Delivery,,"Package the project for public portfolio review with clear README, architecture narrative, adoption plan, and interview evidence.",,ClinicalPulse; Sprint-8; Phase-8; E08; Documentation; Portfolio; AP-ClinicalPulse\Documentation & Portfolio; IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery,,
E09,,Epic,Optional Pipeline Hardening,New,Sprint 9,Phase 9,E09 Optional Pipeline Hardening,,"Add Azure Pipeline checks for tests, linting, forbidden files, documentation completeness, and DevOps evidence.",,ClinicalPulse; Sprint-9; Phase-9; E09; Pipeline; Optional; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening,,
F01.01,E01,Feature,DevOps Project Setup & Delivery Controls,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,Set up the Azure DevOps/GitHub delivery foundation for the project.,"Feature is complete when the Azure DevOps project structure, sprint cadence, tags, and GitHub traceability conventions are documented and usable for day-to-day ClinicalPulse delivery.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; DevOps; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,,
US01.01.01,F01.01,User Story,Create Azure DevOps project structure,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"As a project owner, I want create azure devops project structure so that the backlog has a clean structure for ClinicalPulse delivery.",Deliverable exists at azure-devops/backlog.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/backlog.md,
T01.01.01.1,US01.01.01,Task,Draft/build artifact for Create Azure DevOps project structure,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,Create the first complete version of the artifact or implementation for Create Azure DevOps project structure.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/backlog.md,
T01.01.01.2,US01.01.01,Task,Validate and document Create Azure DevOps project structure,New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"Check the work against acceptance criteria, document assumptions, and record evidence for Create Azure DevOps project structure.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/backlog.md,
US01.01.02,F01.01,User Story,"Define epics, features, sprint cadence, and tags",New,Sprint 0-1,Phase 1,E01 Project Governance & Planning,F01.01 DevOps Project Setup & Delivery Controls,"As a project owner, I want define epics, features, sprint cadence, and tags so that planning work can be tracked consistently across sprints.",Deliverable exists at azure-devops/sprint_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup,azure-devops/sprint_plan.md,
