Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Source Data Foundation,,,,New,"Generate or acquire Synthea synthetic EHR data and document source assumptions, inventory, limitations, and handling rules.",,ClinicalPulse; Sprint-2; Phase-2; E02; Synthea; Source-Data; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Synthea Dataset Generation,,,New,Generate or acquire the synthetic EHR source dataset reproducibly.,"Feature is complete when Synthea generation settings are selected, source files are available locally, and the dataset can be regenerated or replaced using documented steps.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Choose Synthea generation settings,,New,"As a BI developer, I want choose synthea generation settings so that the synthetic dataset has documented geography, seed, population, and export format.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Choose Synthea generation settings,New,Create the first complete version of the artifact or implementation for Choose Synthea generation settings.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Choose Synthea generation settings,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Choose Synthea generation settings.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Generate or acquire selected Synthea CSV files,,New,"As a BI developer, I want generate or acquire selected synthea csv files so that the expected source files are available locally for ingestion.",Deliverable exists at data/raw/; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Generate or acquire selected Synthea CSV files,New,Create the first complete version of the artifact or implementation for Generate or acquire selected Synthea CSV files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Generate or acquire selected Synthea CSV files,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Generate or acquire selected Synthea CSV files.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Synthea; CSV; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Document source acquisition and regeneration steps,,New,"As a reviewer, I want document source acquisition and regeneration steps so that the dataset can be recreated or replaced without confusion.",Deliverable exists at docs/generate_synthea_data.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Document source acquisition and regeneration steps,New,Create the first complete version of the artifact or implementation for Document source acquisition and regeneration steps.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Document source acquisition and regeneration steps,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document source acquisition and regeneration steps.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.01; Reproducibility; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Feature,,Source Inventory and Profiling,,,New,Inventory and profile selected Synthea source entities before ingestion.,"Feature is complete when selected source entities have an inventory, row counts, expected keys, profiling notes, and version-1 versus optional expansion scope documented.",ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Source; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Create source file inventory,,New,"As a data engineer, I want create source file inventory so that all selected source files, row counts, and expected keys are documented.",Deliverable exists at docs/source_file_inventory.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Create source file inventory,New,Create the first complete version of the artifact or implementation for Create source file inventory.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Create source file inventory,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create source file inventory.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Inventory; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
User Story,,,Profile core clinical and operational source files,,New,"As a data analyst, I want profile core clinical and operational source files so that patients, encounters, conditions, observations, procedures, organizations, and providers are understood.",Deliverable exists at docs/source_entity_profile.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Draft/build artifact for Profile core clinical and operational source files,New,Create the first complete version of the artifact or implementation for Profile core clinical and operational source files.,,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
Task,,,,Validate and document Profile core clinical and operational source files,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Profile core clinical and operational source files.",,ClinicalPulse; Sprint-2; Phase-2; E02; F02.02; Profiling; AP-ClinicalPulse\Source Data; IP-ClinicalPulse\Sprint 2 - Source Data Foundation
