Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,SQL Server Ingestion,,,,New,"Create SQL Server foundation, bronze tables, ingestion scripts, audit logs, and row-count reconciliation.",,ClinicalPulse; Sprint-3; Phase-3; E03; SQL-Server; Ingestion; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Feature,,Database and Schema Foundation,,,New,"Create SQL Server database, schemas, naming standards, and connection assumptions.","Feature is complete when the SQL Server database, bronze/silver/gold/governance/audit/api schemas, naming standards, and local connection assumptions are created and documented.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Database; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create database and schema scripts,,New,"As a data engineer, I want create database and schema scripts so that SQL Server has bronze, silver, gold, governance, audit, and api schemas.",Deliverable exists at sql/00_create_database.sql; sql/01_create_schemas.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create database and schema scripts,New,Create the first complete version of the artifact or implementation for Create database and schema scripts.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Create database and schema scripts,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create database and schema scripts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Create database and schema scripts,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create database and schema scripts.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; SQL-Server; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Define SQL naming and scripting standards,,New,"As a developer, I want define sql naming and scripting standards so that objects, keys, constraints, and scripts follow consistent conventions.",Deliverable exists at docs/sql_standards.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Define SQL naming and scripting standards,New,Create the first complete version of the artifact or implementation for Define SQL naming and scripting standards.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Define SQL naming and scripting standards,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Define SQL naming and scripting standards.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Define SQL naming and scripting standards,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Define SQL naming and scripting standards.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Standards; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Set up local SQL Server connection configuration,,New,"As a developer, I want set up local sql server connection configuration so that Python and SSMS can connect using safe local configuration.",Deliverable exists at src/config.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Set up local SQL Server connection configuration,New,Create the first complete version of the artifact or implementation for Set up local SQL Server connection configuration.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Set up local SQL Server connection configuration,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Set up local SQL Server connection configuration.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Set up local SQL Server connection configuration,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Set up local SQL Server connection configuration.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.01; Connection; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Feature,,Bronze Table Build,,,New,Build source-preserving bronze tables with ingestion metadata.,"Feature is complete when core Synthea entities have source-preserving bronze tables with ingestion metadata, source identifiers, row hash/load fields, and lineage-ready design.",ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create bronze patient and organization/provider tables,,New,"As a data engineer, I want create bronze patient and organization/provider tables so that core demographic and organizational entities load into bronze.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create bronze patient and organization/provider tables,New,Create the first complete version of the artifact or implementation for Create bronze patient and organization/provider tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Create bronze patient and organization/provider tables,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create bronze patient and organization/provider tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Create bronze patient and organization/provider tables,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create bronze patient and organization/provider tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create bronze encounter and condition tables,,New,"As a data engineer, I want create bronze encounter and condition tables so that encounter and diagnosis/case-mix entities load into bronze.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create bronze encounter and condition tables,New,Create the first complete version of the artifact or implementation for Create bronze encounter and condition tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Create bronze encounter and condition tables,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create bronze encounter and condition tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Create bronze encounter and condition tables,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create bronze encounter and condition tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Create bronze observation and procedure tables,,New,"As a data engineer, I want create bronze observation and procedure tables so that lab-like observations and procedure context load into bronze.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Create bronze observation and procedure tables,New,Create the first complete version of the artifact or implementation for Create bronze observation and procedure tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Create bronze observation and procedure tables,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create bronze observation and procedure tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Create bronze observation and procedure tables,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create bronze observation and procedure tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Bronze; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
User Story,,,Add ingestion metadata columns to bronze tables,,New,"As a data engineer, I want add ingestion metadata columns to bronze tables so that source file, batch, load status, row hash, and timestamps are captured.",Deliverable exists at sql/02_create_bronze_tables.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Draft/build artifact for Add ingestion metadata columns to bronze tables,New,Create the first complete version of the artifact or implementation for Add ingestion metadata columns to bronze tables.,,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Validate and document Add ingestion metadata columns to bronze tables,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Add ingestion metadata columns to bronze tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
Task,,,,Commit and link implementation evidence for Add ingestion metadata columns to bronze tables,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Add ingestion metadata columns to bronze tables.",,ClinicalPulse; Sprint-3; Phase-3; E03; F03.02; Audit; Lineage; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion
