Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Power BI Reporting,,,,New,"Build governed Power BI semantic model, DAX measures, dashboard pages, screenshots, and metric reconciliation evidence.",,ClinicalPulse; Sprint-6; Phase-6; E06; Power-BI; Reporting; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Feature,,Power BI Semantic Model,,,New,Build and validate the Power BI semantic model on gold tables/views.,"Feature is complete when Power BI connects to gold tables/views, relationships and date logic are modeled cleanly, DAX measures are documented, and dashboard values reconcile to SQL validation outputs.",ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Connect Power BI to SQL Server gold schema,,New,"As a BI developer, I want connect power bi to sql server gold schema so that Power BI uses gold tables/views rather than raw files or bronze tables.",Deliverable exists at powerbi/semantic_model_notes.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power-BI; Gold; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Connect Power BI to SQL Server gold schema,New,Create the first complete version of the artifact or implementation for Connect Power BI to SQL Server gold schema.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power-BI; Gold; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Connect Power BI to SQL Server gold schema,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Connect Power BI to SQL Server gold schema.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power-BI; Gold; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Commit and link implementation evidence for Connect Power BI to SQL Server gold schema,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Connect Power BI to SQL Server gold schema.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Power-BI; Gold; Evidence; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Build relationships and date table,,New,"As a BI developer, I want build relationships and date table so that the semantic model supports consistent filtering by date, encounter class, organization, age band, condition group, and procedure group.",Deliverable exists at powerbi/semantic_model_notes.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Semantic-Model; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Draft/build artifact for Build relationships and date table,New,Create the first complete version of the artifact or implementation for Build relationships and date table.,,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Semantic-Model; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Validate and document Build relationships and date table,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build relationships and date table.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Semantic-Model; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Task,,,,Commit and link implementation evidence for Build relationships and date table,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build relationships and date table.",,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; Semantic-Model; Evidence; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
User Story,,,Document DAX measure definitions,,New,"As a BI developer, I want document dax measure definitions so that all dashboard measures are documented in plain English and DAX form.",Deliverable exists at powerbi/measure_definitions.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-6; Phase-6; E06; F06.01; DAX; AP-ClinicalPulse\Power BI; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
