Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Project Governance & Planning,,,,New,"Define ClinicalPulse purpose, business scope, stakeholders, architecture, delivery workflow, and baseline governance artifacts.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; Governance; Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Feature,,DevOps Project Setup & Delivery Controls,,,New,Set up the Azure DevOps/GitHub delivery foundation for the project.,"Feature is complete when the Azure DevOps project structure, sprint cadence, tags, and GitHub traceability conventions are documented and usable for day-to-day ClinicalPulse delivery.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; DevOps; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,Create Azure DevOps project structure,,New,"As a project owner, I want create azure devops project structure so that the backlog has a clean structure for ClinicalPulse delivery.",Deliverable exists at azure-devops/backlog.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Draft/build artifact for Create Azure DevOps project structure,New,Create the first complete version of the artifact or implementation for Create Azure DevOps project structure.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Validate and document Create Azure DevOps project structure,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create Azure DevOps project structure.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,"Define epics, features, sprint cadence, and tags",,New,"As a project owner, I want define epics, features, sprint cadence, and tags so that planning work can be tracked consistently across sprints.",Deliverable exists at azure-devops/sprint_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,"Draft/build artifact for Define epics, features, sprint cadence, and tags",New,"Create the first complete version of the artifact or implementation for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,"Validate and document Define epics, features, sprint cadence, and tags",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,Document GitHub and Azure Boards traceability conventions,,New,"As a developer, I want document github and azure boards traceability conventions so that commits and work items can be linked and reviewed.",Deliverable exists at docs/devops_workflow.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Draft/build artifact for Document GitHub and Azure Boards traceability conventions,New,Create the first complete version of the artifact or implementation for Document GitHub and Azure Boards traceability conventions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Validate and document Document GitHub and Azure Boards traceability conventions,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Document GitHub and Azure Boards traceability conventions.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Feature,,"Charter, Business Requirements, and Stakeholders",,,New,Define the business-facing foundation for ClinicalPulse.,"Feature is complete when the project charter, business requirements document, and stakeholder matrix define ClinicalPulse purpose, scope, target users, assumptions, deliverables, and business-facing reporting needs.","ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter,; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design"
User Story,,,Finalize the project charter,,New,"As a stakeholder, I want finalize the project charter so that purpose, scope, success criteria, and assumptions are clear.",Deliverable exists at docs/project_charter.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Finalize the project charter,New,Create the first complete version of the artifact or implementation for Finalize the project charter.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Finalize the project charter,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Finalize the project charter.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Charter; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the business requirements document,,New,"As a operational stakeholder, I want create the business requirements document so that analytical needs are captured in business language.",Deliverable exists at docs/business_requirements.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the business requirements document,New,Create the first complete version of the artifact or implementation for Create the business requirements document.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Create the business requirements document,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the business requirements document.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; BRD; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the stakeholder matrix,,New,"As a project owner, I want create the stakeholder matrix so that users, owners, stewards, and reviewers are identified.",Deliverable exists at docs/stakeholder_matrix.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the stakeholder matrix,New,Create the first complete version of the artifact or implementation for Create the stakeholder matrix.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Create the stakeholder matrix,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create the stakeholder matrix.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.02; Stakeholders; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Feature,,Architecture and Governance Baseline,,,New,Document the target platform architecture and governance assumptions.,"Feature is complete when the architecture overview, KPI dictionary skeleton, governance plan, and security/public-portfolio assumptions establish the baseline design before build work begins.",ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Draft the architecture overview,,New,"As a technical reviewer, I want draft the architecture overview so that the end-to-end architecture is understandable before build begins.",Deliverable exists at docs/architecture_overview.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Draft the architecture overview,New,Create the first complete version of the artifact or implementation for Draft the architecture overview.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Validate and document Draft the architecture overview,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Draft the architecture overview.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; Architecture; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
User Story,,,Create the KPI dictionary skeleton,,New,"As a data steward, I want create the kpi dictionary skeleton so that future metrics have a standard definition template.",Deliverable exists at docs/kpi_dictionary.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Task,,,,Draft/build artifact for Create the KPI dictionary skeleton,New,Create the first complete version of the artifact or implementation for Create the KPI dictionary skeleton.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.03; KPI; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
