External ID,Parent External ID,Work Item Type,Title,Suggested Area Path,Exact Iteration Path,AP Tag,IP Tag,Original Sprint Label,Exact Sprint Assignment,Assignment Policy Note
E01,,Epic,Project Governance & Planning,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 1 - Governance and Design,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 1 - Governance and Design,Sprint 0-1,Sprint 1,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
E02,,Epic,Source Data Foundation,ClinicalPulse\Source Data,ClinicalPulse\Sprint 2 - Source Data Foundation,AP-ClinicalPulse\Source Data,IP-ClinicalPulse\Sprint 2 - Source Data Foundation,Sprint 2,Sprint 2,Direct mapping from original sprint label.
E03,,Epic,SQL Server Ingestion,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 3 - SQL Server Ingestion,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 3 - SQL Server Ingestion,Sprint 3,Sprint 3,Direct mapping from original sprint label.
E04,,Epic,Medallion Data Pipeline,ClinicalPulse\SQL Server,ClinicalPulse\Sprint 5 - Gold Layer and Marts,AP-ClinicalPulse\SQL Server,IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts,Sprint 4-5,Sprint 5,Split Sprint 4-5 into Sprint 4 for silver-layer work and Sprint 5 for gold/mart work; E04 assigned to Sprint 5 as the completion sprint.
E05,,Epic,Data Quality & Governance,ClinicalPulse\Data Quality & Governance,ClinicalPulse\Sprint 6 - Power BI Reporting,AP-ClinicalPulse\Data Quality & Governance,IP-ClinicalPulse\Sprint 6 - Power BI Reporting,Sprint 4-6,Sprint 6,"Split Sprint 4-6 into Sprint 4 for quality-rule framework, Sprint 5 for KPI validation, and Sprint 6 for asset/lineage/scorecard governance; E05 assigned to Sprint 6 as the completion sprint."
E06,,Epic,Power BI Reporting,ClinicalPulse\Power BI,ClinicalPulse\Sprint 6 - Power BI Reporting,AP-ClinicalPulse\Power BI,IP-ClinicalPulse\Sprint 6 - Power BI Reporting,Sprint 6,Sprint 6,Direct mapping from original sprint label.
E07,,Epic,FHIR API & Interoperability,ClinicalPulse\FHIR API,ClinicalPulse\Sprint 7 - FHIR API Component,AP-ClinicalPulse\FHIR API,IP-ClinicalPulse\Sprint 7 - FHIR API Component,Sprint 7,Sprint 7,Direct mapping from original sprint label.
E08,,Epic,Documentation & Portfolio Delivery,ClinicalPulse\Documentation & Portfolio,ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery,AP-ClinicalPulse\Documentation & Portfolio,IP-ClinicalPulse\Sprint 8 - Governance and Portfolio Delivery,Sprint 8,Sprint 8,Direct mapping from original sprint label.
E09,,Epic,Optional Pipeline Hardening,ClinicalPulse\DevOps & Delivery,ClinicalPulse\Sprint 9 - Optional Pipeline Hardening,AP-ClinicalPulse\DevOps & Delivery,IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening,Sprint 9,Sprint 9,Direct mapping from original sprint label.
F01.01,E01,Feature,DevOps Project Setup & Delivery Controls,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
US01.01.01,F01.01,User Story,Create Azure DevOps project structure,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
T01.01.01.1,US01.01.01,Task,Draft/build artifact for Create Azure DevOps project structure,ClinicalPulse\Governance & Planning,ClinicalPulse\Sprint 0 - Project Setup,AP-ClinicalPulse\Governance & Planning,IP-ClinicalPulse\Sprint 0 - Project Setup,Sprint 0-1,Sprint 0,Split Sprint 0-1 into Sprint 0 for DevOps setup items and Sprint 1 for governance/design items; E01 assigned to Sprint 1 as the completion/primary governance sprint.
