Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Optional Pipeline Hardening,,,,New,"Add Azure Pipeline checks for tests, linting, forbidden files, documentation completeness, and DevOps evidence.",,ClinicalPulse; Sprint-9; Phase-9; E09; Pipeline; Optional; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Feature,,Test Automation,,,New,"Create automated tests for quality checks, configuration, and API behavior.","Feature is complete when pytest coverage exists for quality rules, API endpoints, FHIR-style response shapes, configuration assumptions, and secrets/repository safety checks.",ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Test; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
User Story,,,Create pytest suite for quality rules,,New,"As a developer, I want create pytest suite for quality rules so that data quality logic has repeatable automated test coverage.",Deliverable exists at tests/test_quality_rules.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Draft/build artifact for Create pytest suite for quality rules,New,Create the first complete version of the artifact or implementation for Create pytest suite for quality rules.,,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Validate and document Create pytest suite for quality rules,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create pytest suite for quality rules.",,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Commit and link implementation evidence for Create pytest suite for quality rules,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create pytest suite for quality rules.",,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; Evidence; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
User Story,,,Create API endpoint and FHIR shape tests,,New,"As a developer, I want create api endpoint and fhir shape tests so that endpoint responses and FHIR-style JSON shapes are checked automatically.",Deliverable exists at tests/test_api_endpoints.py; tests/test_fhir_shapes.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; FHIR; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Draft/build artifact for Create API endpoint and FHIR shape tests,New,Create the first complete version of the artifact or implementation for Create API endpoint and FHIR shape tests.,,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; FHIR; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Validate and document Create API endpoint and FHIR shape tests,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create API endpoint and FHIR shape tests.",,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; FHIR; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
Task,,,,Commit and link implementation evidence for Create API endpoint and FHIR shape tests,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create API endpoint and FHIR shape tests.",,ClinicalPulse; Sprint-9; Phase-9; E09; F09.01; Pytest; FHIR; Evidence; AP-ClinicalPulse\DevOps & Delivery; IP-ClinicalPulse\Sprint 9 - Optional Pipeline Hardening
