Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Medallion Data Pipeline,,,,New,"Transform bronze source-preserving tables into silver business entities and gold reporting-ready facts, dimensions, and marts.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; Medallion; Data-Modeling; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 5 - Gold Layer and Marts
Feature,,Silver Business Entities,,,New,Standardize bronze data into validated silver entities.,"Feature is complete when silver patient, encounter, condition, observation, procedure, organization, and provider entities use standardized naming, data types, derived fields, quality flags, and bronze lineage fields.",ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,Build silver.patient,,New,"As a BI developer, I want build silver.patient so that patient demographics, age bands, and lineage fields are standardized.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Draft/build artifact for Build silver.patient,New,Create the first complete version of the artifact or implementation for Build silver.patient.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Validate and document Build silver.patient,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver.patient.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Commit and link implementation evidence for Build silver.patient,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver.patient.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,Build silver.encounter with LOS fields,,New,"As a BI developer, I want build silver.encounter with los fields so that encounter class, start/stop, duration, and invalid-date flags are available.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Draft/build artifact for Build silver.encounter with LOS fields,New,Create the first complete version of the artifact or implementation for Build silver.encounter with LOS fields.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Validate and document Build silver.encounter with LOS fields,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver.encounter with LOS fields.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Commit and link implementation evidence for Build silver.encounter with LOS fields,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver.encounter with LOS fields.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; LOS; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,"Build silver condition, procedure, and observation entities",,New,"As a BI developer, I want build silver condition, procedure, and observation entities so that clinical context entities are standardized for reporting and quality checks.",Deliverable exists at sql/03_create_silver_tables.sql; sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,"Draft/build artifact for Build silver condition, procedure, and observation entities",New,"Create the first complete version of the artifact or implementation for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,"Validate and document Build silver condition, procedure, and observation entities",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,"Commit and link implementation evidence for Build silver condition, procedure, and observation entities",New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Build silver condition, procedure, and observation entities.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Silver; Evidence; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,Preserve lineage from bronze to silver,,New,"As a data steward, I want preserve lineage from bronze to silver so that silver records can be traced back to bronze source records.",Deliverable exists at sql/05_transform_bronze_to_silver.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Draft/build artifact for Preserve lineage from bronze to silver,New,Create the first complete version of the artifact or implementation for Preserve lineage from bronze to silver.,,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Validate and document Preserve lineage from bronze to silver,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Preserve lineage from bronze to silver.",,ClinicalPulse; Sprint-4-5; Phase-4-5; E04; F04.01; Lineage; AP-ClinicalPulse\SQL Server; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
