Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Project Governance & Planning,,,,New,"Define ClinicalPulse purpose, business scope, stakeholders, architecture, delivery workflow, and baseline governance artifacts.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; Governance; Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 1 - Governance and Design
Feature,,DevOps Project Setup & Delivery Controls,,,New,Set up the Azure DevOps/GitHub delivery foundation for the project.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; DevOps; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,Create Azure DevOps project structure,,New,"As a project owner, I want create azure devops project structure so that the backlog has a clean structure for ClinicalPulse delivery.",Deliverable exists at azure-devops/backlog.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Draft/build artifact for Create Azure DevOps project structure,New,Create the first complete version of the artifact or implementation for Create Azure DevOps project structure.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Validate and document Create Azure DevOps project structure,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create Azure DevOps project structure.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Azure-Boards; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,"Define epics, features, sprint cadence, and tags",,New,"As a project owner, I want define epics, features, sprint cadence, and tags so that planning work can be tracked consistently across sprints.",Deliverable exists at azure-devops/sprint_plan.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,"Draft/build artifact for Define epics, features, sprint cadence, and tags",New,"Create the first complete version of the artifact or implementation for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,"Validate and document Define epics, features, sprint cadence, and tags",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Define epics, features, sprint cadence, and tags.",,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; Sprint-Planning; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
User Story,,,Document GitHub and Azure Boards traceability conventions,,New,"As a developer, I want document github and azure boards traceability conventions so that commits and work items can be linked and reviewed.",Deliverable exists at docs/devops_workflow.md; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
Task,,,,Draft/build artifact for Document GitHub and Azure Boards traceability conventions,New,Create the first complete version of the artifact or implementation for Document GitHub and Azure Boards traceability conventions.,,ClinicalPulse; Sprint-0-1; Phase-1; E01; F01.01; GitHub; Traceability; AP-ClinicalPulse\Governance & Planning; IP-ClinicalPulse\Sprint 0 - Project Setup
