Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Tags
Epic,Data Quality & Governance,,,,New,"Implement quality rules, KPI dictionary entries, validation queries, lineage, scorecards, and ownership/security assumptions.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; Data-Quality; Governance; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 6 - Power BI Reporting
Feature,,Quality Rule Framework,,,New,Implement reportable data quality checks in SQL and Python.,"Feature is complete when quality rules cover completeness, uniqueness, referential integrity, validity, consistency, timeliness, lineage, and API readiness, with results stored for reporting.",ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,Create governance quality rule metadata table,,New,"As a data steward, I want create governance quality rule metadata table so that quality rules have IDs, descriptions, severity, scope, and owners.",Deliverable exists at sql/07_data_quality_checks.sql; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality-Rules; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Draft/build artifact for Create governance quality rule metadata table,New,Create the first complete version of the artifact or implementation for Create governance quality rule metadata table.,,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality-Rules; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Validate and document Create governance quality rule metadata table,New,"Check the work against acceptance criteria, document assumptions, and record evidence for Create governance quality rule metadata table.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality-Rules; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,Commit and link implementation evidence for Create governance quality rule metadata table,New,"Commit related code/docs, reference the Azure Boards work item in the commit, and capture validation notes for Create governance quality rule metadata table.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Quality-Rules; Evidence; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,"Implement completeness, uniqueness, and referential integrity checks",,New,"As a data steward, I want implement completeness, uniqueness, and referential integrity checks so that missing keys, duplicates, and orphaned records are detected.",Deliverable exists at sql/07_data_quality_checks.sql; src/run_quality_checks.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Completeness; RI; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,"Draft/build artifact for Implement completeness, uniqueness, and referential integrity checks",New,"Create the first complete version of the artifact or implementation for Implement completeness, uniqueness, and referential integrity checks.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Completeness; RI; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
Task,,,,"Validate and document Implement completeness, uniqueness, and referential integrity checks",New,"Check the work against acceptance criteria, document assumptions, and record evidence for Implement completeness, uniqueness, and referential integrity checks.",,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Completeness; RI; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
User Story,,,"Implement validity, consistency, and freshness checks",,New,"As a data steward, I want implement validity, consistency, and freshness checks so that invalid dates, inconsistent categories, and stale loads are detected.",Deliverable exists at sql/07_data_quality_checks.sql; src/run_quality_checks.py; content aligns with the ClinicalPulse specification; reviewer can trace the work item to a committed artifact; assumptions and limitations are documented where relevant.,ClinicalPulse; Sprint-4-6; Phase-4-6; E05; F05.01; Validity; Freshness; AP-ClinicalPulse\Data Quality & Governance; IP-ClinicalPulse\Sprint 4 - Silver Layer and Validation
